sale_id,sale_date,customer_id,product,amount,region
1,2024-06-12,157,Notebook,3563,RJ
2,2024-05-31,316,Notebook,3061,SP
3,2024-05-23,201,Webcam,709,RS
4,2024-01-02,488,Mouse,151,PR
5,2024-01-27,147,Monitor,1267,PE
6,2024-05-17,163,Monitor,1465,BA
7,2024-06-29,135,Notebook,4354,SC
8,2024-03-12,332,Webcam,523,RJ
9,2024-06-04,425,Mouse,121,RS
10,2024-06-12,452,Headset,257,SP
11,2024-03-21,305,Teclado,440,PE
12,2024-04-11,429,Monitor,1171,RS
13,2024-05-29,319,Headset,721,RJ
14,2024-01-13,156,Mouse,188,SC
15,2024-06-01,339,Headset,317,RS
16,2024-06-13,274,Notebook,3601,CE
17,2024-02-15,359,Notebook,4280,PR
18,2024-02-11,376,Headset,219,PR
19,2024-03-19,222,Notebook,3493,RJ
20,2024-05-16,492,Mouse,220,CE
21,2024-06-04,316,Mouse,262,PR
22,2024-04-22,364,Monitor,1153,CE
23,2024-02-28,401,Mouse,95,SP
24,2024-03-25,136,Headset,419,MG
25,2024-05-26,395,Monitor,1703,RJ
26,2024-01-25,437,Monitor,1333,SP
27,2024-04-13,472,Teclado,248,MG
28,2024-04-18,193,Teclado,188,SP
29,2024-06-15,376,Notebook,3191,PE
30,2024-02-24,305,Notebook,3337,RS
31,2024-04-18,456,Webcam,553,BA
32,2024-01-15,396,Webcam,848,PE
33,2024-05-08,371,Mouse,297,RJ
34,2024-06-21,220,Monitor,1483,RJ
35,2024-04-17,436,Headset,409,BA
36,2024-03-08,302,Mouse,197,SP
37,2024-04-27,418,Headset,718,MG
38,2024-03-30,135,Mouse,192,CE
39,2024-01-03,441,Headset,470,RJ
40,2024-05-21,179,Teclado,257,RS
41,2024-05-09,350,Teclado,474,SP
42,2024-03-26,494,Mouse,269,SC
43,2024-05-23,104,Notebook,3154,CE
44,2024-02-07,320,Mouse,283,BA
45,2024-06-23,227,Webcam,492,MG
46,2024-02-15,311,Notebook,3367,RS
47,2024-02-10,459,Notebook,3783,BA
48,2024-04-27,279,Teclado,162,PR
49,2024-03-12,135,Teclado,410,SP
50,2024-01-30,233,Mouse,107,PR
51,2024-04-21,410,Headset,460,SC
52,2024-01-01,366,Headset,572,RJ
53,2024-06-19,269,Headset,507,RS
54,2024-06-19,309,Teclado,301,SC
55,2024-06-19,294,Webcam,811,SP
56,2024-03-18,246,Mouse,235,PE
57,2024-04-23,445,Mouse,248,CE
58,2024-06-18,424,Headset,517,BA
59,2024-02-07,112,Notebook,3501,SC
60,2024-06-10,394,Mouse,206,MG
